subset,n,coef,p,verdict
"under1000 - ALL (unsplit, original check)",807733,0.002530564187348116,0.5507396840798142,Linearity holds (p >= .05)
under1000 - White broke book (even depth),416003,-0.03003953809983351,7.276445042458238e-06,LINEARITY VIOLATED (p < .05)
under1000 - Black broke book (odd depth),391730,0.023273148891227387,2.379901597303926e-05,LINEARITY VIOLATED (p < .05)
"1000_1399 - ALL (unsplit, original check)",3062201,-0.01973305407005454,4.7352539633158955e-28,LINEARITY VIOLATED (p < .05)
1000_1399 - White broke book (even depth),1570036,-0.039551602942794965,1.2741550646752185e-48,LINEARITY VIOLATED (p < .05)
1000_1399 - Black broke book (odd depth),1492165,-0.00449577151070621,0.0651618519377386,Linearity holds (p >= .05)
"1400_1799 - ALL (unsplit, original check)",4629031,-0.008208102335663063,4.6481555639210325e-10,LINEARITY VIOLATED (p < .05)
1400_1799 - White broke book (even depth),2402251,-0.025007246051295475,1.4256567440915045e-39,LINEARITY VIOLATED (p < .05)
1400_1799 - Black broke book (odd depth),2226780,0.0093825446828103,3.333441739678409e-07,LINEARITY VIOLATED (p < .05)
"1800_1999 - ALL (unsplit, original check)",1412393,-0.00503886207652668,0.01605281329204692,LINEARITY VIOLATED (p < .05)
1800_1999 - White broke book (even depth),719190,-0.014304312638268904,9.498008132337973e-07,LINEARITY VIOLATED (p < .05)
1800_1999 - Black broke book (odd depth),693203,0.005065638489455281,0.09209285496337402,Linearity holds (p >= .05)
